Date / Time,Home team,,,,Away team,Location,Status
385 - 10:10 PM,Montrescotia Buffaloes,,,,Reverse HC,EHLMSB ,Incomplete
386 - 10:10 PM,Greensboro Hurricanes,,,,Royal deltz,EHLBIS,Incomplete
387 - 10:10 PM,Canadian Frostbytes,,,,MN BLUES,EHLEFB,Incomplete
388 - 10:10 PM,Cooper Gang HC,,,,Pouch munchers,EHLCGH,Incomplete
389 - 10:10 PM,Sabres On Ice,,,,Puckin Around,EHLSOI,Incomplete
390 - 10:10 PM,Pioneers,,,,Cape Cod Rangers,EHLPIO,Incomplete
"Thursday May 21, 2026",,,,,,,
391 - 9:00 PM,Stratton Oakmont,,,,Minnesota Wild,EHLSTO,Incomplete
392 - 9:00 PM,Hope Skate Park,,,,High Quality Plague,EHLHSP,Incomplete
393 - 9:00 PM,Tombstone,,,,Kitty Slayers,EHLTBS,Incomplete
394 - 9:00 PM,Reverse HC,,,,Steel City Legion,EHLRHC,Incomplete
395 - 9:00 PM,Royal deltz,,,,Blood Sweat & Beers,EHLRYD,Incomplete
396 - 9:00 PM,MN BLUES,,,,Montrescotia Buffaloes,EHLMNB,Incomplete
397 - 9:00 PM,Pouch munchers,,,,Greensboro Hurricanes,EHLMUN,Incomplete
398 - 9:00 PM,Puckin Around,,,,Canadian Frostbytes,EHLPKA,Incomplete
399 - 9:00 PM,Cape Cod Rangers,,,,Cooper Gang HC,EHLCCR ,Incomplete
400 - 9:00 PM,Sabres On Ice,,,,Pioneers,EHLSOI,Incomplete
401 - 9:35 PM,High Quality Plague,,,,Minnesota Wild,EHLWSS,Incomplete
402 - 9:35 PM,Stratton Oakmont,,,,Tombstone,EHLSTO,Incomplete
403 - 9:35 PM,Hope Skate Park,,,,Reverse HC,EHLHSP,Incomplete
404 - 9:35 PM,Kitty Slayers,,,,Royal deltz,EHLKIT,Incomplete
405 - 9:35 PM,Steel City Legion,,,,MN BLUES,EHLSCL,Incomplete
406 - 9:35 PM,Blood Sweat & Beers,,,,Pouch munchers,EHLBSB,Incomplete
407 - 9:35 PM,Montrescotia Buffaloes,,,,Puckin Around,EHLMSB ,Incomplete
408 - 9:35 PM,Greensboro Hurricanes,,,,Cape Cod Rangers,EHLBIS,Incomplete
409 - 9:35 PM,Canadian Frostbytes,,,,Pioneers,EHLEFB,Incomplete
410 - 9:35 PM,Cooper Gang HC,,,,Sabres On Ice,EHLCGH,Incomplete
